Date,authorName,tweetText
2019-02-10 01:33:26,RagingBullScam,RT @TheDatinGuru: So Kyle sold all his $AAPL puts before they started to make money... Someone please tell me why this is worth $1495 a yea…
2019-02-10 01:30:05,Exact Option Picks,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/MHBqzyZkcZ

$NFLX $TSLA $AAPL $SBUX $GS $FB $AMZN $GOOGL $NVDA"
2019-02-10 01:29:49,Malcolm,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/GusOH5suD3"
2019-02-10 01:19:37,Pepe Plata,$BRGO .0001 Going current #moneyonline #TradingStrategy #trading #DayTrading #Daytrader #Daytrade #stocks #forex #forextrading #invest $GLD $FB $NFLX $IBM $AAPL #trade #cash #entrepreneurship #Seriously
2019-02-10 01:19:16,Pepe Plata,$BRGO .0001 Going current #moneyonline #TradingStrategy #trading #DayTrading #Daytrader #Daytrade #stocks #forex #forextrading #invest $GLD $FB $NFLX $IBM $AAPL #trade #cash #entrepreneurship #Seriously.
2019-02-10 01:18:55,Michael Alvarez,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/3sUV89bHJc. #bitcoin #stocks #StockMarket #cryptocurrency"
2019-02-10 01:18:19,Pepe Plata,$BRGO .0001 Going current #moneyonline #TradingStrategy #trading #DayTrading #Daytrader #Daytrade #stocks #forex #forextrading #invest $GLD $FB $NFLX $IBM $AAPL #trade #cash #entrepreneurship #Alert
2019-02-10 01:16:24,Adam Glascoe,"RT @SharePlanner: Trade with me in the Splash Zone Today!

Real Time Trade alerts via text, email and a thriving chatroom #stocks $AAPL $FB…"
2019-02-10 01:12:21,Doug Rumer,"How long does it take this trading thingy to work?

https://t.co/QfiJyXLH4b

$SPY $STUDY $FB $TWTR $TSLA $AAPL $TSLA"
2019-02-10 01:09:40,New World Strategies,"Capitalism Without Competition....This weeks Thoughts from the Frontline  &gt; https://t.co/HTCkNBNKO1

$GOOG $AAPL $QQQ #Google #SP500"
2019-02-10 01:08:40,Beowulf,Interesting to see what now $MKL has added on some $AAPL as well.... https://t.co/t7tgWpGO3R
2019-02-10 01:01:24,Obi,"$NSPX HUGE Merger! NO PR #PHARMA
https://t.co/O636BZkzuz
$RDUS $UTHR $PTLA $ALDR $OPK $GLPG $ARWR $ONCS $MTEM $SGYP $NEPT $ASMB $JNJ $MRK $AAPL $GOOG $INTC $CLDX $MSFT $CMCSA $PFE $MU $NFLX $NOK $XO $DIS $NVDA $BAC $AMD $WMT $CHK $AKS $VZ $CTL $FCX $T $JPM $WFT  $NVCN $BIDU $HPQ https://t.co/irgtvhzEqG"
2019-02-10 01:00:09,Gavin McMaster,The Lost Decade - $SPY $SPX $RUT $AAPL [Blog Archive] https://t.co/ty2meFU1KG
2019-02-10 01:00:00,tae,"This tweet, ""New post (Apple Inc. (NASDAQ:AAPL), https://t.co/Mk2hrDPIAT, Inc. (NASDAQ:AMZN) - For Sale: Performance Stocks, Slightly Worn) has been published on FUNDSWIFT - https://t.co/odluQci8nR https://t.co/tjzG7atgDa"" has been retweeted 0 times."
2019-02-10 00:59:10,Obi,$NSPX UNKNOWN beaten cancer #biotech @ 0055 traded $150+ WILL FLY✈ #Blockchain #startup $AAPL $SIRI $SBUX $CSCO $INTC $HEAR $CLDX $AUTO $ACER $RIOT $QCOM $SNAP $FB $NETE $DCTH $RXMD $RNVA $VEND $DTST $PLSE $GROW $BLCM $AKER $SECO $AMZN $NVDA $NFLX $PAY $PYPL $CRM $ORCL $NVCN $T https://t.co/Pr4I9wS2g2
2019-02-10 00:58:03,Obi,"$NSPX signed commitment letter w\ Milost Global Inc agreeing 2 terms 4 a commitment of up to $100 MILLION $AAPL $GOOG $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX $NOK $XOM $UNH $DIS $HSY $NVDA $MRNS $BAC $ORCL $WMT $CHK $NVCN
$GLUU $AKS $CLDX $VZ $CTL $FCX $AMAT $TSLA $JPM $WFT https://t.co/oVIqQmjvy2"
2019-02-10 00:57:53,Chandler™,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/42yiLe1Yid"
2019-02-10 00:57:04,Obi,$NSPX UNKNOWN beaten cancer #biotech @ 006 52WKH 55 cents target $1 #blockchain #startup $AAPL $SIRI $SBUX $CSCO $INTC $HEAR $CLDC $AUTO $ACER $RIOT $QCOM $SNAP $FB $NETE $DCTH $RXMD $RNVA $VEND $DTST $PLSE $GROW $BLCM $AKER $SECO $AMZN $NVDA $NFLX $PAY $PYPL $CRM $ORCL $NVCN $T https://t.co/dy1Om7Yycc
2019-02-10 00:56:46,Brian Firestone,"Have I Been Using $TWTR To Snitch? 
 $aapl $amzn $agn $brk $bhc $crm $cmg $dis $esrx $f $googl $hlf $iep $ibm $jnj $ko $prgo $wba $wmt $tgt $cost $fb $snap $mcd $cake $shak $ms $gs $wfc $bac $c $jpm $sbux $cat $ba $ge $wynn $tst $pg $cpb $spy $pep $tsla $btc $teva $gm $ibb $twtr"
2019-02-10 00:56:02,Obi,$NSPX UNKNOWN beaten cancer #biotech @ 006 traded $150+ WILL FLY✈ #Blockchain #startup $AAPL $SIRI $SBUX $CSCO $INTC $HEAR $CLDX $AUTO $ACER $RIOT $QCOM $SNAP $FB $NETE $DCTH $RXMD $RNVA $VEND $DTST $PLSE $GROW $BLCM $AKER $SECO $AMZN $NVDA $NFLX $PAY $PYPL $CRM $ORCL $NVCN $T https://t.co/DEBORYM66L
2019-02-10 00:54:21,Obi,"$NSPX 0055? patent drug mipsargarin called cancer GRENADE https://t.co/4xpVadG901
$AAPL $CLDX $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX $NOK $XOM $UNH $DIS $HSY $NVDA $UNP $BAC $ORCL $WMT $CHK
$GLUU $AKS $VZ $CTL $FCX $AMAT $TSLA $JPM $WFT $PTI $BIDU $MRK $BETR $AXP $RIG $HPQ"
2019-02-10 00:54:08,Brian Firestone,"Is a Corporate Whistleblower a Snitch?
 $aapl $amzn $agn $brk $bhc $crm $cmg $dis $esrx $f $googl $hlf $iep $ibm $jnj $ko $prgo $wba $wmt $tgt $cost $fb $snap $mcd $cake $shak $ms $gs $wfc $bac $c $jpm $sbux $cat $ba $ge $wynn $tst $pg $cpb $spy $pep $tsla $btc $teva $gm $ibb"
2019-02-10 00:53:52,Obi,"$NSPX 0055? ITS BREAKTHROUGH DRUG ON THE NEWS 0055?!💸 https://t.co/4xpVadG901
$AAPL $CLDX $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX $NOK $XOM $UNH $DIS $HSY $NVDA $UNP $BAC $ORCL $WMT $CHK
$GLUU $AKS $VZ $CTL $FCX $AMAT $TSLA $JPM $WFT $PTI $BIDU $MRK $BETR $AXP $RIG $HPQ $T"
2019-02-10 00:52:54,JeffGoldblumtheCat,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/pVmsUJbHDW"
2019-02-10 00:52:15,SPXpoints,"AAPL needs to break 171. If can, 171, 174, 175, 177, 179, 183. #aapl #applestock Education only!"
2019-02-10 00:51:45,Obi,"$NSPX 13G Hedgefund buys 10%? What? WHY?💸✈ https://t.co/zul88QPUlQ
$AAPL $GOOG $INTC $AMZN $MSFT $AKAM $CMCSA $PFE $MU $NFLX $NOK $XOM $UNH $DIS $HSY $NVDA $MRNS $UNP $BAC $ORCL $WMT $CHK
$GLUU $AKS $TWTR $VZ $CTL $FCX $AMAT $TSLA $JPM $WFT $PTI $BIDU $MRK $BETR $AXP $RIG $HPQ https://t.co/KtaD7dOmla"
2019-02-10 00:51:20,Obi,$NSPX 005? CANCER PATENT GRANTED 130MIL O\S! $NVCN $SPY $GDX $FB $RNVA $BAC $GE $XLF $EEM $HLT $TVIX $QQQ $MU $KEY $VXX $F $AMD $TWTR $RSX $GDXJ $BBD $UVXY $EYEG $JCP $EGO $AAPL $GERN $ESV $NFLX $INDY $CLDX $NRZ $BPMX $SPWH $DBX $PAY $BBD $UVXY $NRZ $SPWH $DBX $SQ $AZUL $TSLA $S https://t.co/Dhd4xfBjmn
2019-02-10 00:51:11,K.O.,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/12HpiFaj1v"
2019-02-10 00:48:52,Ensiness Base,Sns Financial Group Holding in Apple (AAPL) Has Decreased as Shares Declined; Highland ... https://t.co/m7gj5YTJAS
2019-02-10 00:40:31,Alan Portell,"Robinhood, Free Stock Giveaway, create a Robinhood account &amp; get a stock like $AAPL, $AMZN, or $DIS for FREE!💵

#stocks #trading #Wallstreet
#bitcoin #NASDAQ #Crypto #cryptocurrency #Business #daytrading #NYSE #dayrtader #invest #money #CNBC @FoxBusiness 
https://t.co/g8yQLx9rA9"
2019-02-10 00:38:00,Laurent Toussant,RT @seeitmarket: 3 Questions to Ask About the 200-day Moving Average - https://t.co/RqkpboBdRD  research by @DKellerCMT  $SPY $QQQ $AAPL
2019-02-10 00:30:05,Exact Option Picks,"ACTIVE TRADERS Try one of these FREE trading guides:

https://t.co/QLeV8H92qh

$NFLX $TSLA $AAPL $TWTR $GS $FB $AMZN $GOOGL $NVDA"
2019-02-10 00:29:54,𝕸𝖎𝖘𝖘 𝕷𝖔𝖛𝖊,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link.

https://t.co/WNSzQ28n4Y"
2019-02-10 00:29:23,Income Baron,"Nucor Steel (Ticker NUE), Proctor &amp; Gamble (Ticker PG), and Apple (Ticker AAPL) all issuing dividends in the upcoming week, keep a lookout. Also, this week saw a record of S&amp;P 500 companies announcing dividend increases! Great news for us in #DGI/#dividiend growth investment. https://t.co/mSM3XXQCY1"
2019-02-10 00:28:31,Kevin P.,"RT @tradingcrudeoil: Capitalism Without Competition....This weeks Thoughts from the Frontline  &gt; https://t.co/w5c8hqkJnL

$GOOG $AAPL $QQQ…"
2019-02-10 00:25:39,Larry Friesen,RT @seeitmarket: 3 Questions to Ask About the 200-day Moving Average - https://t.co/RqkpboBdRD  research by @DKellerCMT  $SPY $QQQ $AAPL
2019-02-10 00:16:09,john pagnotta,RT @seeitmarket: 3 Questions to Ask About the 200-day Moving Average - https://t.co/RqkpboBdRD  research by @DKellerCMT  $SPY $QQQ $AAPL
