Date,Open,High,Low,Close*,Adj Close**,Volume
"Feb 08, 2019",168.99,170.66,168.42,170.41,170.41,"23,802,100"
"Feb 07, 2019",172.40,173.94,170.34,170.94,170.21,"31,741,700"
"Feb 06, 2019",174.65,175.57,172.85,174.24,173.50,"28,239,600"
"Feb 05, 2019",172.86,175.08,172.35,174.18,173.44,"36,101,600"
"Feb 04, 2019",167.41,171.66,167.28,171.25,170.52,"31,495,500"
"Feb 01, 2019",166.96,168.98,165.93,166.52,165.81,"32,668,100"
"Jan 31, 2019",166.11,169.00,164.56,166.44,165.73,"40,739,600"
"Jan 30, 2019",163.25,166.15,160.23,165.25,164.54,"61,109,800"
"Jan 29, 2019",156.25,158.13,154.11,154.68,154.02,"41,587,200"
"Jan 28, 2019",155.79,156.33,153.66,156.30,155.63,"26,192,100"
"Jan 25, 2019",155.48,158.13,154.32,157.76,157.09,"33,535,500"
"Jan 24, 2019",154.11,154.48,151.74,152.70,152.05,"25,441,500"
"Jan 23, 2019",154.15,155.14,151.70,153.92,153.26,"23,130,600"
"Jan 22, 2019",156.41,156.73,152.62,153.30,152.65,"30,394,000"
"Jan 18, 2019",157.50,157.88,155.98,156.82,156.15,"33,751,000"
"Jan 17, 2019",154.20,157.66,153.26,155.86,155.19,"29,821,200"
"Jan 16, 2019",153.08,155.88,153.00,154.94,154.28,"30,569,700"
"Jan 15, 2019",150.27,153.39,150.05,153.07,152.42,"28,710,900"
"Jan 14, 2019",150.85,151.27,149.22,150.00,149.36,"32,439,200"
"Jan 11, 2019",152.88,153.70,151.51,152.29,151.64,"27,023,200"
"Jan 10, 2019",152.50,153.97,150.86,153.80,153.14,"35,780,700"
"Jan 09, 2019",151.29,154.53,149.63,153.31,152.66,"45,099,100"
"Jan 08, 2019",149.56,151.82,148.52,150.75,150.11,"41,025,300"
"Jan 07, 2019",148.70,148.83,145.90,147.93,147.30,"54,777,800"
"Jan 04, 2019",144.53,148.55,143.80,148.26,147.63,"58,607,100"
"Jan 03, 2019",143.98,145.72,142.00,142.19,141.58,"91,312,200"
"Jan 02, 2019",154.89,158.85,154.23,157.92,157.25,"37,039,700"
"Dec 31, 2018",158.53,159.36,156.48,157.74,157.07,"35,003,500"
"Dec 28, 2018",157.50,158.52,154.55,156.23,155.56,"42,291,400"
"Dec 27, 2018",155.84,156.77,150.07,156.15,155.48,"53,117,100"
"Dec 26, 2018",148.30,157.23,146.72,157.17,156.50,"58,582,500"
"Dec 24, 2018",148.15,151.55,146.59,146.83,146.20,"37,169,200"
"Dec 21, 2018",156.86,158.16,149.63,150.73,150.09,"95,744,600"
"Dec 20, 2018",160.40,162.11,155.30,156.83,156.16,"64,773,000"
"Dec 19, 2018",166.00,167.45,159.09,160.89,160.20,"49,047,300"
"Dec 18, 2018",165.38,167.53,164.39,166.07,165.36,"33,841,500"
"Dec 17, 2018",165.45,168.35,162.73,163.94,163.24,"44,287,900"
"Dec 14, 2018",169.00,169.08,165.28,165.48,164.77,"40,703,700"
"Dec 13, 2018",170.49,172.57,169.55,170.95,170.22,"31,898,600"
"Dec 12, 2018",170.40,171.92,169.02,169.10,168.38,"35,627,700"
"Dec 11, 2018",171.66,171.79,167.00,168.63,167.91,"47,281,700"
"Dec 10, 2018",165.00,170.09,163.33,169.60,168.88,"62,026,000"
"Dec 07, 2018",173.49,174.49,168.30,168.49,167.77,"42,281,600"
"Dec 06, 2018",171.76,174.78,170.42,174.72,173.97,"43,098,400"
"Dec 04, 2018",180.95,182.39,176.27,176.69,175.94,"41,344,300"
"Dec 03, 2018",184.46,184.94,181.21,184.82,184.03,"40,802,500"
"Nov 30, 2018",180.29,180.33,177.03,178.58,177.82,"39,531,500"
"Nov 29, 2018",182.66,182.80,177.70,179.55,178.78,"41,770,000"
"Nov 28, 2018",176.73,181.29,174.93,180.94,180.17,"46,062,500"
"Nov 27, 2018",171.51,174.77,170.88,174.24,173.50,"41,387,400"
"Nov 26, 2018",174.24,174.95,170.26,174.62,173.87,"44,998,500"
"Nov 23, 2018",174.94,176.60,172.10,172.29,171.55,"23,624,000"
"Nov 21, 2018",179.73,180.27,176.55,176.78,176.03,"31,124,200"
"Nov 20, 2018",178.37,181.47,175.51,176.98,176.22,"67,825,200"
"Nov 19, 2018",190.00,190.70,184.99,185.86,185.07,"41,925,300"
"Nov 16, 2018",190.50,194.97,189.46,193.53,192.70,"36,928,300"
"Nov 15, 2018",188.39,191.97,186.90,191.41,190.59,"46,478,800"
"Nov 14, 2018",193.90,194.48,185.93,186.80,186.00,"60,801,000"
"Nov 13, 2018",191.63,197.18,191.45,192.23,191.41,"46,882,900"
"Nov 12, 2018",199.00,199.85,193.79,194.17,193.34,"51,135,500"
"Nov 09, 2018",205.55,206.01,202.25,204.47,203.60,"34,365,800"
"Nov 08, 2018",209.98,210.12,206.75,208.49,207.60,"25,362,600"
"Nov 07, 2018",205.97,210.06,204.13,209.95,208.33,"33,424,400"
"Nov 06, 2018",201.92,204.72,201.69,203.77,202.19,"31,882,900"
"Nov 05, 2018",204.30,204.39,198.17,201.59,200.03,"66,163,700"
"Nov 02, 2018",209.55,213.65,205.43,207.48,205.88,"91,328,700"
"Nov 01, 2018",219.05,222.36,216.81,222.22,220.50,"58,323,200"
"Oct 31, 2018",216.88,220.45,216.62,218.86,217.17,"38,358,900"
"Oct 30, 2018",211.15,215.18,209.27,213.30,211.65,"36,660,000"
"Oct 29, 2018",219.19,219.69,206.09,212.24,210.60,"45,935,500"
"Oct 26, 2018",215.90,220.19,212.67,216.30,214.63,"47,258,400"
"Oct 25, 2018",217.71,221.38,216.75,219.80,218.10,"29,855,800"
"Oct 24, 2018",222.60,224.23,214.54,215.09,213.43,"40,925,500"
"Oct 23, 2018",215.83,223.25,214.70,222.73,221.01,"38,767,800"
"Oct 22, 2018",219.79,223.36,218.94,220.65,218.94,"28,792,100"
"Oct 19, 2018",218.06,221.26,217.43,219.31,217.61,"33,078,700"
"Oct 18, 2018",217.86,219.74,213.00,216.02,214.35,"32,581,300"
"Oct 17, 2018",222.30,222.64,219.34,221.19,219.48,"22,885,400"
"Oct 16, 2018",218.93,222.99,216.76,222.15,220.43,"29,184,000"
"Oct 15, 2018",221.16,221.83,217.27,217.36,215.68,"30,791,000"
"Oct 12, 2018",220.42,222.88,216.84,222.11,220.39,"40,337,900"
"Oct 11, 2018",214.52,219.50,212.32,214.45,212.79,"53,124,400"
"Oct 10, 2018",225.46,226.35,216.05,216.36,214.69,"41,990,600"
"Oct 09, 2018",223.64,227.27,222.25,226.87,225.12,"26,891,000"
"Oct 08, 2018",222.21,224.80,220.20,223.77,222.04,"29,663,900"
"Oct 05, 2018",227.96,228.41,220.58,224.29,222.56,"33,580,500"
"Oct 04, 2018",230.78,232.35,226.73,227.99,226.23,"32,042,000"
"Oct 03, 2018",230.05,233.47,229.78,232.07,230.28,"28,654,800"
"Oct 02, 2018",227.25,230.00,226.63,229.28,227.51,"24,788,200"
"Oct 01, 2018",227.95,229.42,226.35,227.26,225.50,"23,600,800"
"Sep 28, 2018",224.79,225.84,224.02,225.74,223.99,"22,929,400"
"Sep 27, 2018",223.82,226.44,223.54,224.95,223.21,"30,181,200"
"Sep 26, 2018",221.00,223.75,219.76,220.42,218.72,"23,984,700"
"Sep 25, 2018",219.75,222.82,219.70,222.19,220.47,"24,554,400"
"Sep 24, 2018",216.82,221.26,216.63,220.79,219.08,"27,693,400"
"Sep 21, 2018",220.78,221.36,217.29,217.66,215.98,"96,246,700"
"Sep 20, 2018",220.24,222.28,219.15,220.03,218.33,"26,608,800"
"Sep 19, 2018",218.50,219.62,215.30,218.37,216.68,"27,123,800"
